From,To,Price
Фарғона,Андижонга,1800.0
Фарғона,маргилон,1000.0
Фарғона,наманган,1300.0
Фарғона,поп,1400.0
Фарғона,тошкент,3000.0
Фарғона,сирдарё,3200.0
Фарғона,жиззах,3800.0
Фарғона,самарканд,4000.0
Фарғона,каттакоргон,4.5
Фарғона,карши,4000.0
Фарғона,шахрисабс,4200.0
Фарғона,термез,6000.0
Фарғона,денов,8000.0
Фарғона,навои,5000.0
Фарғона,зарафшон,4.5
Фарғона,бухара,6000.0
Фарғона,гиждуван,5700.0     
Фарғона,ургенч,8000.0
Фарғона,хива,7500.0
Фарғона,нукус,7000.0
Фарғона,мойнак,4000.0
Фарғона,кокон,1400.0
Тошкент,Андижонга,3.5
Тошкент,Фарғона,3000.0
Тошкент,Марғилон,3000.0
Тошкент,Наманган,3000.0
Тошкент,Поп,3200.0
Тошкент,сирдарё,2200.0
Тошкент,жиззах,4000.0
Тошкент,самарканд,4.4
Тошкент,каттакоргон,5000.0
Тошкент,карши,4000.0
Тошкент,шахрисабс,4300.0
Тошкент,термез,6000.0
Тошкент,денов,7000.0
Тошкент,навои,5000.0
Тошкент,зарафшон,5000.0
Тошкент,бухара,5300.0
Тошкент,гиждуван,4800.0
Тошкент,ургенч,7500.0
Тошкент,хива,7000.0
Тошкент,нукус,5000.0
Тошкент,мойнак,4000.0
Тошкент,кокон,3.5
Қўқон,Андижонга,1300.0
Қўқон,Фарғона,1500.0
Қўқон,Марғилон,1800.0
Қўқон,Наманган,200.0
Қўқон,Поп,1700.0
Қўқон,Тошкент,3200.0
Қўқон,Сирдарё,3500.0
Қўқон,Жиззах,4000.0
Қўқон,Самарқанд,4300.0
Қўқон,Каттақурғон,4500.0
Қўқон,Қарши,4800.0
Қўқон,Шахрисабз,5000.0
Қўқон,Термиз,8000.0
Қўқон,Денов,8000.0
Қўқон,Навои,5000.0
Қўқон,бухара,600.0
Қўқон,Зарафшон,5500.0
Қўқон,Гиждувон,5400.0
Қўқон,Урганч,8000.0
Қўқон,Хива,7500.0
Қўқон,Нукус,7000.0
Қўқон,Муйноқ,7600.0
Навои,Андижонга,4500.0
Навои,Фарғона,4300.0
Навои,Марғилон,400.0
Навои,Наманган,4100.0
Навои,Поп,3800.0
Навои,Тошкент,4000.0
Навои,Сирдарё,4000.0
Навои,Жиззах,4200.0
Навои,Самарқанд,3500.0
Навои,Каттақурғон,4000.0
Навои,Қарши,4000.0
Навои,Шахрисабз,4200.0
Навои,Термиз,6000.0
Навои,Денов,7000.0
Навои,зарафшон,4500.0
Навои,бухара,3000.0
Навои,гиждуван,3500.0
Навои,ургенч,5000.0
Навои,хива,5500.0
Навои,нукус,6000.0
Навои,мойнак,4000.0
Навои,кокон,4200.0
Марғилон,Андижонга,2200.0
Марғилон,Фарғона,1800.0
Марғилон,наманган,1700.0
Марғилон,поп,1600.0
Марғилон,тошкент,3000.0
Марғилон,сирдарё,3500.0
Марғилон,жиззах,4000.0
Марғилон,самарканд,4400.0
Марғилон,каттакоргон,5000.0
Марғилон,карши,5000.0
Марғилон,шахрисабс,4300.0
Марғилон,термез,6800.0
Марғилон,денов,7000.0
Марғилон,навои,5800.0
Марғилон,зарафшон,6000.0
Марғилон,бухара,5000.0
Марғилон,гиждуван,5300.0
Марғилон,ургенч,8000.0
Марғилон,хива,7600.0
Марғилон,нукус,6700.0
Марғилон,мойнак,4000.0
Марғилон,кокон,2000.0
Наманган,Андижонга,1300.0
Наманган,Фарғона,1500.0
Наманган,Марғилон,1700.0
Наманган,поп,1700.0
Наманган,тошкент,3000.0
Наманган,сирдарё,3500.0
Наманган,жиззах,4000.0
Наманган,самарканд,4500.0
Наманган,каттакоргон,4800.0
Наманган,карши,4600.0
Наманган,шахрисабс,4000.0
Наманган,термез,78000.0
Наманган,денов,7900.0
Наманган,навои,5000.0
Наманган,зарафшон,5300.0
Наманган,бухара,5000.0
Наманган,гиждуван,4800.0
Наманган,ургенч,8000.0
Наманган,хива,6700.0
Наманган,нукус,7200.0
Наманган,мойнак,4000.0
Наманган,кокон,1800.0
Андижон,Зомин,5000.0
фаргона,Зомин,5300.0
маргилон,Зомин,5100.0
наманган,Зомин,4800.0
поп,Зомин,4000.0
тошкент,Зомин,3600.0
сирдарё,Зомин,3800.0
жиззах,Зомин,3000.0
самарканд,Зомин,2500.0
каттакоргон,Зомин,3000.0
карши,Зомин,3200.0
шахрисабс,Зомин,3800.0
термез,Зомин,4300.0
денов,Зомин,5000.0
навои,Зомин,3600.0
зарафшон,Зомин,2500.0
бухара,Зомин,2800.0
гиждуван,Зомин,2300.0
ургенч,Зомин,5600.0
хива,Зомин,5000.0
нукус,Зомин,4500.0
мойнак,Зомин,4000.0
кокон,Зомин,5400.0
Сирдарё,Андижонга,3500.0
Сирдарё,Фарғона,3100.0
Сирдарё,Марғилон,3600.0
Сирдарё,Наманган,3200.0
Сирдарё,Поп,3000.0
Сирдарё,Тошкент,2200.0
Сирдарё,жиззах,3200.0
Сирдарё,самарканд,4300.0
Сирдарё,каттакоргон,4000.0
Сирдарё,карши,3600.0
Сирдарё,шахрисабс,4000.0
Сирдарё,термез,5000.0
Сирдарё,денов,6800.0
Сирдарё,навои,3800.0
Сирдарё,зарафшон,4000.0
Сирдарё,бухара,5000.0
Сирдарё,гиждуван,4300.0
Сирдарё,ургенч,7800.0
Сирдарё,хива,6700.0
Сирдарё,нукус,5600.0
Сирдарё,мойнак,4000.0
Сирдарё,кокон,3800.0
Поп,Андижонга,1800.0
Поп,Фарғона,1700.0
Поп,Марғилон,1300.0
Поп,Наманган,1500.0
Поп,тошкент,3200.0
Поп,сирдарё,3600.0
Поп,жиззах,4000.0
Поп,самарканд,4600.0
Поп,каттакоргон,5000.0
Поп,карши,5000.0
Поп,шахрисабс,4800.0
Поп,термез,7600.0
Поп,денов,8000.0
Поп,навои,6000.0
Поп,зарафшон,6500.0
Поп,бухара,5000.0
Поп,гиждуван,5400.0
Поп,ургенч,8600.0
Поп,хива,7800.0
Поп,нукус,6900.0
Поп,мойнак,5400.0
Поп,кокон,1800.0
Жиззах,Андижонга,4500.0
Жиззах,Фарғона,4200.0
Жиззах,Марғилон,4000.0
Жиззах,Наманган,410.0
Жиззах,Поп,4000.0
Жиззах,Тошкент,3000.0
Жиззах,Сирдарё,2800.0
Жиззах,самарканд,3000.0
Жиззах,каттакоргон,4000.0
Жиззах,карши,4000.0
Жиззах,шахрисабс,3800.0
Жиззах,термез,6500.0
Жиззах,денов,7500.0
Жиззах,навои,4000.0
Жиззах,зарафшон,4000.0
Жиззах,бухара,5400.0
Жиззах,гиждуван,5200.0
Жиззах,ургенч,7700.0
Жиззах,хива,6700.0
Жиззах,нукус,5600.0
Жиззах,мойнак,4000.0
Жиззах,кокон,4200.0
Самарқанд,Андижонга,4000.0
Самарқанд,Фарғона,4200.0
Самарқанд,Марғилон,4100.0
Самарқанд,Наманган,4000.0
Самарқанд,Поп,4000.0
Самарқанд,Тошкент,3800.0
Самарқанд,Сирдарё,3500.0
Самарқанд,Жиззах,4000.0
Самарқанд,каттакоргон,4000.0
Самарқанд,карши,3800.0
Самарқанд,шахрисабс,3900.0
Самарқанд,термез,7800.0
Самарқанд,денов,8000.0
Самарқанд,навои,5000.0
Самарқанд,зарафшон,4000.0
Самарқанд,бухара,4300.0
Самарқанд,гиждуван,4200.0
Самарқанд,ургенч,7400.0
Самарқанд,хива,6500.0
Самарқанд,нукус,6000.0
Самарқанд,мойнак,4000.0
Самарқанд,кокон,4500.0
Каттақурғон,Андижонга,4800.0
Каттақурғон,Фарғона,4500.0
Каттақурғон,Марғилон,4000.0
Каттақурғон,Наманган,4200.0
Каттақурғон,Поп,4700.0
Каттақурғон,Тошкент,4000.0
Каттақурғон,Сирдарё,3800.0
Каттақурғон,Жиззах,3500.0
Каттақурғон,Самарқанд,4300.0
Каттақурғон,карши,4200.0
Каттақурғон,шахрисабс,4000.0
Каттақурғон,термез,7600.0
Каттақурғон,денов,7000.0
Каттақурғон,навои,5000.0
Каттақурғон,зарафшон,4500.0
Каттақурғон,бухара,4700.0
Каттақурғон,гиждуван,4300.0
Каттақурғон,ургенч,5000.0
Каттақурғон,хива,4800.0
Каттақурғон,нукус,4000.0
Каттақурғон,мойнак,4500.0
Каттақурғон,кокон,5000.0
Қарши,Андижонга,5000.0
Қарши,Фарғона,4600.0
Қарши,Марғилон,5000.0
Қарши,Наманган,4800.0
Қарши,Поп,5000.0
Қарши,Тошкент,4000.0
Қарши,Сирдарё,3800.0
Қарши,Жиззах,4300.0
Қарши,Самарқанд,2800.0
Қарши,Каттақурғон,3300.0
Қарши,шахрисабс,2600.0
Қарши,термез,5500.0
Қарши,денов,6000.0
Қарши,навои,4000.0
Қарши,зарафшон,4200.0
Қарши,бухара,5000.0
Қарши,гиждуван,4700.0
Қарши,ургенч,6000.0
Қарши,хива,5800.0
Қарши,нукус,6400.0
Қарши,мойнак,5000.0
Қарши,кокон,4800.0
Шахрисабз,Андижонга,4300.0
Шахрисабз,Фарғона,4800.0
Шахрисабз,Марғилон,4000.0
Шахрисабз,Наманган,3800.0
Шахрисабз,Поп,4000.0
Шахрисабз,Тошкент,3800.0
Шахрисабз,Сирдарё,3500.0
Шахрисабз,Жиззах,4000.0
Шахрисабз,Самарқанд,3800.0
Шахрисабз,Каттақурғон,3500.0
Шахрисабз,Қарши,2800.0
Шахрисабз,термез,6000.0
Шахрисабз,денов,6500.0
Шахрисабз,навои,5000.0
Шахрисабз,зарафшон,4600.0
Шахрисабз,бухара,5000.0
Шахрисабз,гиждуван,4800.0
Шахрисабз,ургенч,6000.0
Шахрисабз,хива,6300.0
Шахрисабз,нукус,5400.0
Шахрисабз,мойнак,5000.0
Шахрисабз,кокон,5000.0
Термиз,Андижонга,8000.0
Термиз,Фарғона,7800.0
Термиз,Марғилон,8400.0
Термиз,Наманган,8300.0
Термиз,Поп,7800.0
Термиз,Тошкент,7000.0
Термиз,Сирдарё,6500.0
Термиз,Жиззах,6000.0
Термиз,Самарқанд,5500.0
Термиз,Каттақурғон,6000.0
Термиз,Қарши,6400.0
Термиз,Шахрисабз,5000.0
Термиз,денов,3500.0
Термиз,навои,4000.0
Термиз,зарафшон,6500.0
Термиз,бухара,5000.0
Термиз,гиждуван,5300.0
Термиз,ургенч,8000.0
Термиз,хива,5400.0
Термиз,нукус,5000.0
Термиз,мойнак,5300.0
Термиз,кокон,8000.0
Денов,Андижонга,8200.0
Денов,Фарғона,8000.0
